File,Time [MJD],Epoch,SNR,CBC RV [m/s],CBC RV Err. [m/s],CCF RV [m/s],CCF RV Err. [m/s],S Value,H-alpha Emission,H-alpha Equiv. Width [A],CCF FWHM [m/s],CCF FWHM Err. [m/s],BIS [m/s],V_span [m/s],Bi-Gaussian [m/s],Skew Normal,Date Generated,Phot. GP [mag],Phot. GP Err. [mag]
26965_190820.1115.fits,58715.48747,5,198,-0.299,0.435,-42339.62,0.265,0.218,0.214,1.673,6591.024,27.9,-74.811,-63.099,0.599,0,2020-12-22T03:58:12.292,-0.001139,0.000835
26965_190824.1349.fits,58719.46914,5,204,-2.046,0.368,-42341.686,0.256,0.204,0.213,1.666,6602.39,27.964,-71.061,-60.649,0.433,-0.94,2020-12-22T03:58:17.178,-0.000275,0.000848
26965_190824.1350.fits,58719.47181,5,200,-1.637,0.408,-42342.609,0.26,0.204,0.216,1.648,6600.349,27.998,-72.401,-61.634,0.484,-0.944,2020-12-22T03:58:22.541,-0.000274,0.000848
26965_190825.1237.fits,58720.49718,5,203,-2.137,0.41,-42342.798,0.27,,0.216,1.658,6604.366,28.518,-70.175,-60.369,0.366,-0.943,2020-12-22T03:58:27.626,-0.000009,0.000880
26965_191008.1133.fits,58764.39945,5,210,-0.32,0.332,-42338.302,0.265,,0.212,1.624,6597.317,28.874,-69.922,-60.385,0.366,-0.004,2020-12-22T03:58:33.025,0.000525,0.000451
26965_191008.1134.fits,58764.40115,5,213,0.15,0.373,-42337.821,0.262,,0.216,1.627,6595.999,28.914,-69.271,-59.266,0.341,-0.938,2020-12-22T03:58:38.030,0.000525,0.000450
26965_191008.1135.fits,58764.40292,5,196,2.466,0.335,-42337.077,0.282,,0.214,1.624,6595.583,28.796,-69.686,-59.477,0.366,0.001,2020-12-22T03:58:43.030,0.000525,0.000450
26965_191016.1129.fits,58772.44738,5,181,-1.904,0.37,-42340.659,0.294,0.21,0.211,1.603,6574.745,27.959,-70.015,-60.904,0.461,-0.006,2020-12-22T03:58:48.052,-0.000122,0.000781
26965_191016.1130.fits,58772.45,5,204,-0.096,0.309,-42340.413,0.261,0.21,0.211,1.593,6574.027,27.991,-70.679,-61.002,0.458,-0.006,2020-12-22T03:58:52.901,-0.000121,0.000782
26965_191016.1131.fits,58772.45265,5,201,-1.552,0.336,-42340.738,0.264,0.21,0.212,1.597,6575.149,27.987,-69.123,-60.724,0.463,-0.936,2020-12-22T03:58:59.469,-0.000121,0.000782
26965_191024.1293.fits,58780.34971,5,221,-2.364,0.307,-42341.296,0.238,0.199,0.213,1.589,6580.598,27.607,-66.423,-57.375,0.426,-0.925,2020-12-22T03:59:06.832,0.001139,0.000441
26965_191024.1294.fits,58780.35267,5,218,-1.522,0.329,-42340.489,0.24,0.199,0.213,1.586,6580.904,27.687,-66.566,-57.349,0.406,0,2020-12-22T03:59:13.257,0.001139,0.000441
26965_191024.1295.fits,58780.3554,5,223,-1.582,0.305,-42340.483,0.234,0.199,0.212,1.594,6580.172,27.641,-66.673,-57.81,0.425,-0.003,2020-12-22T03:59:19.868,0.001139,0.000441
26965_191025.1075.fits,58781.43182,5,221,-2.515,0.33,-42340.713,0.24,0.182,0.213,1.602,6585.353,28.064,-67.411,-58.139,0.411,-0.006,2020-12-22T03:59:26.291,0.000873,0.000445
26965_191025.1076.fits,58781.43564,5,222,-2.341,0.311,-42341.034,0.239,0.182,0.212,1.603,6587.562,28.077,-67.193,-58.96,0.448,-0.003,2020-12-22T03:59:32.988,0.000871,0.000445
26965_191025.1077.fits,58781.43959,5,206,-2.084,0.329,-42341.042,0.26,0.182,0.209,1.606,6585.91,28.062,-64.017,-57.35,0.385,-0.926,2020-12-22T03:59:39.220,0.000870,0.000445
26965_191101.1119.fits,58788.44177,5,193,-1.25,0.344,-42341.208,0.297,,0.211,1.597,6607.066,29.744,-73.582,-63.869,0.691,-0.962,2020-12-22T03:59:45.512,-0.000938,0.000504
26965_191101.1120.fits,58788.44291,5,188,-1.632,0.326,-42341.329,0.303,,0.21,1.585,6601.139,29.587,-73.636,-63.312,0.71,0.001,2020-12-22T03:59:52.166,-0.000938,0.000504
