File,Time [MJD],Epoch,SNR,CBC RV [m/s],CBC RV Err. [m/s],CCF RV [m/s],CCF RV Err. [m/s],S Value,H-alpha Emission,H-alpha Equiv. Width [A],CCF FWHM [m/s],CCF FWHM Err. [m/s],BIS [m/s],V_span [m/s],Bi-Gaussian [m/s],Skew Normal,Date Generated,Phot. GP [mag],Phot. GP Err. [mag]
34411_191008.1168.fits,58764.47491,5,215,3.332,0.324,66488.805,0.297,0.145,0.176,2.294,7378.092,19.515,-55.332,-51.139,2.284,-0.795,2020-12-22T04:17:19.061,0.000000,0.001020
34411_191008.1169.fits,58764.47689,5,221,1.841,0.34,66487.339,0.288,0.145,0.172,2.308,7378.378,19.491,-57.696,-52.577,2.32,-0.005,2020-12-22T04:17:24.006,0.000000,0.001020
34411_191008.1170.fits,58764.47882,5,221,4.66,0.314,66489.72,0.288,0.145,0.175,2.298,7376.641,19.563,-57.033,-51.584,2.311,-0.8,2020-12-22T04:17:29.108,0.000000,0.001020
34411_191015.1178.fits,58771.41509,5,226,-1.227,0.345,66485.202,0.281,0.148,0.174,2.277,7376.055,19.501,-58.641,-54.241,2.411,-0.806,2020-12-22T04:17:34.418,0.000000,0.001020
34411_191015.1179.fits,58771.41686,5,212,-1.571,0.327,66484.268,0.301,0.148,0.175,2.289,7376.3,19.486,-56.914,-54.092,2.394,-0.805,2020-12-22T04:17:39.257,0.000000,0.001020
34411_191015.1180.fits,58771.41851,5,218,-0.899,0.317,66484.416,0.291,0.148,0.175,2.283,7375.35,19.521,-56.381,-52.987,2.404,-0.803,2020-12-22T04:17:44.241,0.000000,0.001020
34411_191016.1141.fits,58772.47204,5,216,2.802,0.313,66487.742,0.296,0.149,0.173,2.283,7372.67,19.455,-59.457,-54.03,2.421,-0.81,2020-12-22T04:17:49.338,0.000000,0.001020
34411_191016.1142.fits,58772.47469,5,213,0.324,0.307,66486.251,0.3,0.149,0.179,2.282,7372.125,19.492,-58.373,-53.749,2.398,-0.807,2020-12-22T04:17:54.772,0.000000,0.001020
34411_191016.1143.fits,58772.47731,5,220,0.841,0.309,66487.132,0.291,0.149,0.177,2.283,7371.318,19.474,-59.425,-54.429,2.422,-0.005,2020-12-22T04:17:59.897,0.000000,0.001020
34411_191017.1079.fits,58773.45429,5,212,1.296,0.308,66487.172,0.3,0.144,0.173,2.298,7374.441,19.466,-57.821,-53.225,2.413,-0.805,2020-12-22T04:18:05.243,0.000000,0.001020
34411_191017.1080.fits,58773.46055,5,175,0.912,0.367,66486.388,0.369,0.144,0.178,2.292,7374.223,19.515,-55.728,-51.88,2.401,-0.801,2020-12-22T04:18:10.419,0.000000,0.001020
34411_191017.1084.fits,58773.469,5,218,1.155,0.314,66487.209,0.295,0.144,0.174,2.29,7371.261,19.491,-56.615,-53.114,2.373,-0.005,2020-12-22T04:18:15.559,0.000000,0.001020
34411_191022.1073.fits,58778.42209,5,171,0,0.366,66485.755,0.38,0.152,0.175,2.294,7375.555,19.624,-54.611,-50.477,2.396,-0.004,2020-12-22T04:18:20.813,0.000000,0.001020
34411_191022.1077.fits,58778.4306,5,214,-1.383,0.313,66484.317,0.3,0.152,0.173,2.287,7376.007,19.579,-56.587,-51.397,2.425,-0.804,2020-12-22T04:18:26.356,0.000000,0.001020
34411_191022.1078.fits,58778.43686,5,237,-0.677,0.304,66485.043,0.27,0.152,0.171,2.286,7376.154,19.523,-56.577,-51.324,2.421,0.001,2020-12-22T04:18:31.855,0.000000,0.001020
34411_191024.1310.fits,58780.38942,5,162,0.678,0.43,66485.512,0.402,0.15,0.176,2.289,7381.326,19.606,-55.676,-52.345,2.424,-0.004,2020-12-22T04:18:37.387,0.000000,0.001020
34411_191024.1311.fits,58780.39396,5,213,-1.015,0.319,66485.254,0.301,0.15,0.173,2.28,7376.56,19.574,-57.386,-52.306,2.442,-0.804,2020-12-22T04:18:42.864,0.000000,0.001020
