BJD_UTC	vrad	svrad	fwhm	contrast	bis_span	noise	s_mw	sig_s	rhk	sig_rhk	sn_CaII	sn10	sn50	sn60	exptime	spectrograph	version
2457254.593124	-17424.22	1.03	7615.54	30.860	59.04	0.96	0.00	0.00	0.00	0.00	0.00	71.60	150.90	143.90	900	HARPSN	HN3.7
2457257.578995	-17422.45	1.15	7613.57	30.786	62.07	1.09	0.00	0.00	0.00	0.00	0.00	62.10	134.80	132.00	900	HARPSN	HN3.7
2457267.619795	-17423.43	1.17	7621.53	30.692	60.57	1.12	0.00	0.00	0.00	0.00	0.00	60.10	135.80	133.00	900	HARPSN	HN3.7
2457269.560355	-17425.70	1.25	7619.69	30.672	58.82	1.20	0.00	0.00	0.00	0.00	0.00	56.60	126.60	127.70	900	HARPSN	HN3.7
2457270.543983	-17426.49	0.87	7618.71	30.670	63.70	0.80	0.00	0.00	0.00	0.00	0.00	86.90	190.90	191.70	900	HARPSN	HN3.7
2457271.547355	-17426.33	0.86	7621.77	30.568	61.33	0.79	0.00	0.00	0.00	0.00	0.00	86.50	197.20	201.30	900	HARPSN	HN3.7
2457272.586106	-17426.09	1.01	7614.22	30.812	60.85	0.95	0.00	0.00	0.00	0.00	0.00	71.90	156.80	151.10	900	HARPSN	HN3.7
2457301.478409	-17429.74	1.01	7617.62	30.608	60.93	0.95	0.00	0.00	0.00	0.00	0.00	72.40	162.00	166.20	900	HARPSN	HN3.7
2457302.478875	-17426.17	1.19	7611.52	30.638	64.32	1.14	0.00	0.00	0.00	0.00	0.00	59.60	135.70	137.60	900	HARPSN	HN3.7
2457321.447027	-17428.88	1.78	7629.16	30.632	56.20	1.75	0.00	0.00	0.00	0.00	0.00	38.00	86.60	89.50	900	HARPSN	HN3.7
2457322.452530	-17418.39	0.85	7602.48	31.026	57.65	0.77	0.00	0.00	0.00	0.00	0.00	88.40	179.40	161.40	900	HARPSN	HN3.7
2457325.304777	-17415.57	1.05	7619.37	30.914	59.64	0.99	0.00	0.00	0.00	0.00	0.00	66.60	141.00	128.00	900	HARPSN	HN3.7
2457330.332406	-17419.76	1.04	7608.57	31.014	66.62	0.98	0.00	0.00	0.00	0.00	0.00	69.60	141.30	130.50	900	HARPSN	HN3.7
2457331.332764	-17417.70	1.06	7616.77	30.844	58.28	0.99	0.00	0.00	0.00	0.00	0.00	68.30	144.50	140.70	900	HARPSN	HN3.7
2457332.331015	-17421.81	1.16	7611.83	30.911	60.90	1.10	0.00	0.00	0.00	0.00	0.00	61.10	129.50	123.30	900	HARPSN	HN3.7
2457336.333399	-17421.09	1.04	7608.36	30.872	59.25	0.97	0.00	0.00	0.00	0.00	0.00	69.50	147.50	141.20	900	HARPSN	HN3.7
2457352.322688	-17426.39	5.86	7574.24	30.519	59.20	5.85	0.00	0.00	0.00	0.00	0.00	11.20	29.40	29.30	900	HARPSN	HN3.7
2457353.336997	-17416.40	2.91	7604.38	30.816	60.04	2.89	0.00	0.00	0.00	0.00	0.00	23.00	52.30	50.80	900	HARPSN	HN3.7
2457354.334583	-17428.53	3.67	7601.83	30.801	62.94	3.66	0.00	0.00	0.00	0.00	0.00	18.20	42.70	41.60	900	HARPSN	HN3.7
2457354.355426	-17416.87	1.24	7601.44	31.110	64.36	1.18	0.00	0.00	0.00	0.00	0.00	57.60	112.30	100.50	1800	HARPSN	HN3.7
2457356.296356	-17418.88	1.42	7616.55	30.834	68.30	1.38	0.00	0.00	0.00	0.00	0.00	48.50	105.30	101.70	900	HARPSN	HN3.7
