ModelMass  Earth-Like
0.062500000  0.43805000 
0.066990003  0.44784999 
0.071790002  0.45780000 
0.076949999  0.46794999 
0.082470000  0.47825000 
0.088390000  0.48879999 
0.094729997  0.49950001 
0.10150000  0.51030004 
0.10880000  0.52145004 
0.11660000  0.53279996 
0.12500000  0.54429996 
0.13400000  0.55594999 
0.14360000  0.56770003 
0.15390000  0.57959998 
0.16490000  0.59169996 
0.17680000  0.60380000 
0.18950000  0.61624998 
0.20310000  0.62904996 
0.21760000  0.64205003 
0.23330000  0.65520000 
0.25000000  0.66865003 
0.26789999  0.68245000 
0.28720000  0.69650000 
0.30779999  0.71074998 
0.32990000  0.72535002 
0.35360000  0.74024999 
0.37889999  0.75540000 
0.40610000  0.77074999 
0.43529999  0.78655005 
0.46650001  0.80264997 
0.50000000  0.81895000 
0.53590000  0.83555001 
0.57429999  0.85255003 
0.61559999  0.86985004 
0.65979999  0.88740003 
0.70709997  0.90525001 
0.75790000  0.92355001 
0.81230003  0.94209999 
0.87059999  0.96090001 
0.93300003  0.98015004 
1.0000000  0.99965000 
1.0718000  1.0195000 
1.1487000  1.0396500 
1.2309999  1.0602000 
1.3200001  1.0810499 
1.4140000  1.1021500 
1.5160000  1.1236999 
1.6250000  1.1455500 
1.7410001  1.1677001 
1.8660001  1.1902001 
2.0000000  1.2130001 
2.1440001  1.2360001 
2.2969999  1.2600000 
2.4619999  1.2835000 
2.6389999  1.3075000 
2.8280001  1.3320000 
3.0309999  1.3570000 
3.2490001  1.3820000 
3.4820001  1.4075000 
3.7320001  1.4335001 
4.0000000  1.4595001 
4.2870002  1.4860001 
4.5949998  1.5125000 
4.9250002  1.5395000 
5.2779999  1.5664999 
5.6570001  1.5945001 
6.0630002  1.6225001 
6.4980001  1.6505001 
6.9640002  1.6795001 
7.4640002  1.7079999 
8.0000000  1.7370000 
8.5740004  1.7665000 
9.1899996  1.7960000 
9.8490000  1.8260001 
10.560000  1.8560001 
11.310000  1.8865000 
12.130000  1.9170001 
13.000000  1.9480000 
13.930000  1.9790000 
14.930000  2.0105000 
16.000000  2.0420001 
17.150000  2.0739999 
18.379999  2.1065001 
19.700001  2.1385002 
21.110001  2.1710000 
22.629999  2.2035000 
24.250000  2.2365000 
25.990000  2.2690001 
27.860001  2.3010001 
29.860001  2.3340001 
32.000000  2.3664999 
