,BJD,BJD,vrad,svrad
0,57254.59375,2457254.594,-17424.2207,1.029999971
1,57257.57813,2457257.578,-17422.44922,1.149999976
2,57267.62109,2457267.621,-17423.42969,1.169999957
3,57269.55859,2457269.559,-17425.69922,1.25
4,57270.54297,2457270.543,-17426.49023,0.870000005
5,57271.54688,2457271.547,-17426.33008,0.860000014
6,57272.58594,2457272.586,-17426.08984,1.00999999
7,57301.47656,2457301.477,-17429.74023,1.00999999
8,57302.48047,2457302.48,-17426.16992,1.190000057
9,57321.44531,2457321.445,-17428.88086,1.779999971
10,57322.45313,2457322.453,-17418.39063,0.850000024
11,57325.30469,2457325.305,-17415.57031,1.049999952
12,57330.33203,2457330.332,-17419.75977,1.039999962
13,57331.33203,2457331.332,-17417.69922,1.059999943
14,57332.33203,2457332.332,-17421.81055,1.159999967
15,57336.33203,2457336.332,-17421.08984,1.039999962
16,57353.33594,2457353.336,-17416.40039,2.910000086
17,57354.33594,2457354.336,-17428.5293,3.670000076
18,57354.35547,2457354.355,-17416.86914,1.24000001
19,57356.29688,2457356.297,-17418.88086,1.419999957
20,57380.30078,2457380.301,-17425.41992,1.289999962
21,57381.30078,2457381.301,-17427.60938,1.74000001
22,57382.29688,2457382.297,-17424.35938,1.110000014
23,57384.30078,2457384.301,-17421.91992,1.620000005
24,57559.71875,2457559.719,-17426.11914,1.169999957
25,57560.69922,2457560.699,-17425.58984,1.149999976
26,57562.71094,2457562.711,-17424.86914,1.25999999
27,57563.70313,2457563.703,-17428.44922,1.350000024
28,57564.71875,2457564.719,-17426.83984,1.269999981
29,57565.70703,2457565.707,-17425.63086,1.350000024
30,57566.71875,2457566.719,-17418.41992,1.049999952
31,57573.70313,2457573.703,-17419.57031,1.200000048
32,57574.68359,2457574.684,-17421.28906,1.129999995
33,57574.73438,2457574.734,-17425.33984,0.959999979
34,57576.66797,2457576.668,-17422.9707,0.959999979
35,57576.73438,2457576.734,-17421.83984,1.059999943
36,57578.65625,2457578.656,-17418.34961,3.390000105
37,57579.64844,2457579.648,-17430.34961,2.589999914
38,57579.73047,2457579.73,-17424.21094,2.75999999
39,57616.54297,2457616.543,-17412.14063,1.980000019
40,57616.61719,2457616.617,-17417.21094,1.539999962
41,57617.55078,2457617.551,-17421.19922,1
42,57617.62109,2457617.621,-17420.11914,0.860000014
43,57618.54688,2457618.547,-17418.86914,1.190000057
44,57618.62109,2457618.621,-17420.24023,0.930000007
45,57651.42969,2457651.43,-17422.13086,0.920000017
46,57651.52344,2457651.523,-17423.01953,1.00999999
47,57652.42969,2457652.43,-17420.24023,0.939999998
48,57652.52734,2457652.527,-17421.75,0.930000007
49,57653.43359,2457653.434,-17421.03906,1.25
50,57653.52734,2457653.527,-17421.61914,1.019999981
51,57654.43359,2457654.434,-17419.80078,1.24000001
52,57654.53125,2457654.531,-17420.83984,1.179999948
53,57655.50781,2457655.508,-17421.00977,2.5
54,57656.4375,2457656.438,-17417.71094,1.470000029
55,57656.51563,2457656.516,-17420.90039,2.039999962
56,57657.42969,2457657.43,-17421.5293,1.840000033
57,57657.52734,2457657.527,-17417.57031,2.380000114
58,57658.45313,2457658.453,-17423.67969,1.809999943
59,57658.52734,2457658.527,-17423.2207,1.529999971
60,57659.5,2457659.5,-17420.4707,0.939999998
61,57661.41797,2457661.418,-17417.10938,0.930000007
62,57661.50781,2457661.508,-17419.64063,1.179999948
63,57669.42578,2457669.426,-17425.30078,1.179999948
64,57669.52734,2457669.527,-17429.51953,1.470000029
65,57670.42578,2457670.426,-17415.19922,1.389999986
66,57670.51172,2457670.512,-17421.06055,1.049999952
67,57671.41797,2457671.418,-17420.36914,0.920000017
68,57671.50781,2457671.508,-17423.01953,0.879999995
69,57672.42188,2457672.422,-17418.24023,0.899999976
70,57672.50781,2457672.508,-17416.55078,0.779999971
71,57673.41797,2457673.418,-17418.94922,1.080000043
72,57673.50781,2457673.508,-17417.85938,1.080000043
