#file_root	night	insmode	tplname	exptime	photocenter	airmass	seeing	adc_pos	azimuth	altitude	moon_ra	moon_dec	alpha	delta	equinox	mualpha	mudelta	radvel	version	sn10	sn20	sn30	sn40	sn50	sn60	berv	jdb	bervmx	th_file	lamp_used	th_cal_error	lamp_offset	dvrms	drift_algo	drift_ref_file	drift_bouchy	drift_ccf	drift_used	drift_nbcos	drift_fratio	drift_nbordkill	drift_noise	drift_qc	flux_corr_min	flux_corr_max	vrad0	vrad	svrad	fwhm	contrast	maxcpp	mask	nb_lines	noise	bis_span	bv	sn_CaII	s_raw	s_mw	sig_s	rhk	sig_rhk	prot_n84	sig_prot_n84	prot_m08	sig_prot_m08	age_m08	sig_age_m08	name	object	prog_id	dprtype	spectr
#---------	-----	-------	-------	-------	-----------	-------	------	-------	-------	--------	-------	--------	-----	-----	-------	-------	-------	------	-------	----	----	----	----	----	----	----	---	------	-------	---------	------------	-----------	-----	----------	--------------	------------	---------	----------	-----------	------------	---------------	-----------	--------	-------------	-------------	-----	----	-----	----	--------	------	----	--------	-----	--------	--	-------	-----	----	-----	---	-------	--------	------------	--------	------------	-------	-----------	----	------	-------	-------	------
HARPN.2015-08-20T01-58-09.071	2015-08-19	HARPN	HARPN_ech_obs_thosimult	900.000	0.5085	1.47	1.05	F	0.155	0.748	0.000000	0.000000	22h26m18.190	-18:00:40.200	2000.0	0.07297	-0.11370	-99999.00000	HARPN_3.7	71.60	96.30	127.60	148.20	150.90	143.90	2.23349	57254.593124	31.71403	HARPN.2015-08-19T15-59-32.986_wave_A.fits	THAR1	0.00035	0.00468	0.00066	Bouchy	HARPN.2015-08-19T15-59-32.986_e2ds_B.fits	0.00014	0.00000	0.00014	512	0.792	3	0.00007	PASSED	1.00000	1.00000	-17.42408	-17.42422	0.00103	7.61554	30.860	6838	G2	4638	0.00096	0.05904	0.000	43.60	0.000000	0.000000	0.000000	0.0000	0.0000	0.00	0.00	0.00	0.00	0.00	0.00	HD212657	HD212657	GTO	STAR,WAVE	F7
HARPN.2015-08-23T01-37-37.786	2015-08-22	HARPN	HARPN_ech_obs_thosimult	900.000	0.5188	1.46	1.04	F	0.105	0.753	0.000000	0.000000	22h26m18.190	-18:00:40.200	2000.0	0.07297	-0.11370	-99999.00000	HARPN_3.7	62.10	84.60	112.60	131.10	134.80	132.00	0.76745	57257.578995	31.71403	HARPN.2015-08-22T16-26-11.033_wave_A.fits	THAR1	0.00034	0.00461	0.00073	Bouchy	HARPN.2015-08-22T16-26-11.033_e2ds_B.fits	0.00092	0.00000	0.00092	520	0.775	1	0.00007	PASSED	1.00000	1.00000	-17.42153	-17.42245	0.00115	7.61357	30.786	5363	G2	4638	0.00109	0.06207	0.000	37.40	0.000000	0.000000	0.000000	0.0000	0.0000	0.00	0.00	0.00	0.00	0.00	0.00	HD212657	HD212657	GTO	STAR,WAVE	F7
HARPN.2015-09-02T02-36-31.261	2015-09-01	HARPN	HARPN_ech_obs_thosimult	900.000	0.5152	1.72	1.28	F	0.607	0.619	0.000000	0.000000	22h26m18.190	-18:00:40.200	2000.0	0.07297	-0.11370	-99999.00000	HARPN_3.7	60.10	81.40	109.80	130.10	135.80	133.00	-4.35535	57267.619795	31.71403	HARPN.2015-09-01T16-52-37.858_wave_A.fits	THAR1	0.00034	0.00449	0.00074	Bouchy	HARPN.2015-09-01T16-52-37.858_e2ds_B.fits	-0.00028	0.00000	-0.00028	546	0.767	0	0.00007	PASSED	1.00000	1.00000	-17.42370	-17.42343	0.00117	7.62153	30.692	5186	G2	4638	0.00112	0.06057	0.000	37.10	0.000000	0.000000	0.000000	0.0000	0.0000	0.00	0.00	0.00	0.00	0.00	0.00	HD212657	HD212657	GTO	STAR,WAVE	F7
HARPN.2015-09-04T01-11-07.675	2015-09-03	HARPN	HARPN_ech_obs_thosimult	900.000	0.5037	1.48	1.29	F	0.221	0.740	0.000000	0.000000	22h26m18.190	-18:00:40.200	2000.0	0.07297	-0.11370	-99999.00000	HARPN_3.7	56.60	76.30	102.00	120.50	126.60	127.70	-5.18572	57269.560355	31.71403	HARPN.2015-09-03T16-21-30.691_wave_A.fits	THAR1	0.00034	0.00460	0.00077	Bouchy	HARPN.2015-09-03T16-21-30.691_e2ds_B.fits	-0.00077	0.00000	-0.00077	558	0.834	4	0.00007	PASSED	1.00000	1.00000	-17.42646	-17.42570	0.00125	7.61969	30.672	4536	G2	4638	0.00120	0.05882	0.000	34.80	0.000000	0.000000	0.000000	0.0000	0.0000	0.00	0.00	0.00	0.00	0.00	0.00	HD212657	HD212657	GTO	STAR,WAVE	F7
HARPN.2015-09-05T00-47-33.136	2015-09-04	HARPN	HARPN_ech_obs_thosimult	900.000	0.5057	1.46	1.02	F	0.111	0.752	0.000000	0.000000	22h26m18.190	-18:00:40.200	2000.0	0.07297	-0.11370	-99999.00000	HARPN_3.7	86.90	112.50	149.30	179.10	190.90	191.70	-5.63639	57270.543983	31.71403	HARPN.2015-09-04T17-00-59.124_wave_A.fits	THAR1	0.00034	0.00471	0.00054	Bouchy	HARPN.2015-09-04T17-00-59.124_e2ds_B.fits	0.00057	0.00000	0.00057	564	0.742	4	0.00006	PASSED	1.00000	1.00000	-17.42592	-17.42649	0.00087	7.61871	30.670	10014	G2	4638	0.00080	0.06370	0.000	56.30	0.000000	0.000000	0.000000	0.0000	0.0000	0.00	0.00	0.00	0.00	0.00	0.00	HD212657	HD212657	GTO	STAR,WAVE	F7
HARPN.2015-09-06T00-52-19.348	2015-09-05	HARPN	HARPN_ech_obs_thosimult	900.000	0.5138	1.47	1.01	F	0.160	0.748	0.000000	0.000000	22h26m18.190	-18:00:40.200	2000.0	0.07297	-0.11370	-99999.00000	HARPN_3.7	86.50	110.70	148.70	182.00	197.20	201.30	-6.14435	57271.547355	31.71403	HARPN.2015-09-05T16-57-49.953_wave_A.fits	THAR1	0.00035	0.00489	0.00052	Bouchy	HARPN.2015-09-05T16-57-49.953_e2ds_B.fits	-0.00114	0.00000	-0.00114	506	0.787	0	0.00007	PASSED	1.00000	1.00000	-17.42747	-17.42633	0.00086	7.62177	30.568	10219	G2	4638	0.00079	0.06133	0.000	57.70	0.000000	0.000000	0.000000	0.0000	0.0000	0.00	0.00	0.00	0.00	0.00	0.00	HD212657	HD212657	GTO	STAR,WAVE	F7
HARPN.2015-09-07T01-48-04.609	2015-09-06	HARPN	HARPN_ech_obs_thosimult	900.000	0.5192	1.60	0.97	F	0.475	0.676	0.000000	0.000000	22h26m18.190	-18:00:40.200	2000.0	0.07297	-0.11370	-99999.00000	HARPN_3.7	71.90	96.40	128.80	151.60	156.80	151.10	-6.75269	57272.586106	31.71403	HARPN.2015-09-06T16-28-49.579_wave_A.fits	THAR1	0.00034	0.00486	0.00065	Bouchy	HARPN.2015-09-06T16-28-49.579_e2ds_B.fits	0.00086	0.00000	0.00086	524	0.807	1	0.00007	PASSED	1.00000	1.00000	-17.42523	-17.42609	0.00101	7.61422	30.812	7071	G2	4638	0.00095	0.06085	0.000	44.80	0.000000	0.000000	0.000000	0.0000	0.0000	0.00	0.00	0.00	0.00	0.00	0.00	HD212657	HD212657	GTO	STAR,WAVE	F7
HARPN.2015-10-05T23-14-41.776	2015-10-05	HARPN	HARPN_ech_obs_thosimult	900.000	0.5284	1.50	1.21	F	0.272	0.731	0.000000	0.000000	22h26m18.190	-18:00:40.200	2000.0	0.07297	-0.11370	-99999.00000	HARPN_3.7	72.40	94.90	126.10	150.90	162.00	166.20	-19.60203	57301.478409	31.71403	HARPN.2015-10-05T16-33-47.311_wave_A.fits	THAR1	0.00034	0.00459	0.00062	Bouchy	HARPN.2015-10-05T16-33-47.311_e2ds_B.fits	0.00073	0.00000	0.00073	541	0.784	2	0.00009	PASSED	1.00000	1.00000	-17.42900	-17.42974	0.00101	7.61762	30.608	7140	G2	4638	0.00095	0.06093	0.000	47.80	0.000000	0.000000	0.000000	0.0000	0.0000	0.00	0.00	0.00	0.00	0.00	0.00	HD212657	HD212657	GTO	STAR,WAVE	F7
HARPN.2015-10-06T23-16-15.424	2015-10-06	HARPN	HARPN_ech_obs_thosimult	900.000	0.4751	1.51	1.20	F	0.302	0.725	0.000000	0.000000	22h26m18.190	-18:00:40.200	2000.0	0.07297	-0.11370	-99999.00000	HARPN_3.7	59.60	79.40	106.20	126.90	135.70	137.60	-19.99589	57302.478875	31.71403	HARPN.2015-10-06T16-46-30.784_wave_A.fits	THAR1	0.00034	0.00476	0.00074	Bouchy	HARPN.2015-10-06T16-46-30.784_e2ds_B.fits	0.00125	0.00000	0.00125	512	0.778	1	0.00009	PASSED	1.00000	1.00000	-17.42492	-17.42617	0.00119	7.61152	30.638	5009	G2	4638	0.00114	0.06432	0.000	38.80	0.000000	0.000000	0.000000	0.0000	0.0000	0.00	0.00	0.00	0.00	0.00	0.00	HD212657	HD212657	GTO	STAR,WAVE	F7
HARPN.2015-10-25T22-32-15.203	2015-10-25	HARPN	HARPN_ech_obs_thosimult	900.000	0.4924	1.59	1.96	F	0.460	0.681	0.000000	0.000000	22h26m18.190	-18:00:40.200	2000.0	0.07297	-0.11370	-99999.00000	HARPN_3.7	38.00	52.30	70.40	82.30	86.60	89.50	-26.13246	57321.447027	31.71403	HARPN.2015-10-25T16-36-34.787_wave_A.fits	THAR1	0.00034	0.00458	0.00105	Bouchy	HARPN.2015-10-25T16-36-34.787_e2ds_B.fits	0.00078	0.00000	0.00078	516	0.773	2	0.00009	PASSED	1.00000	1.00000	-17.42810	-17.42888	0.00178	7.62916	30.632	2234	G2	4638	0.00175	0.05620	0.000	23.50	0.000000	0.000000	0.000000	0.0000	0.0000	0.00	0.00	0.00	0.00	0.00	0.00	HD212657	HD212657	GTO	STAR,WAVE	F7
